name,type,lng,lat
邮轮中心(地铁站),交通设施服务;地铁站;地铁站,118.077155,24.484959
建业路(地铁站),交通设施服务;地铁站;地铁站,118.083644,24.478104
湖滨中路(地铁站),交通设施服务;地铁站;地铁站,118.094744,24.480508
中山公园(地铁站),交通设施服务;地铁站;地铁站,118.089851,24.455683
镇海路(地铁站),交通设施服务;地铁站;地铁站,118.082837,24.450496
沙坡尾(地铁站),交通设施服务;地铁站;地铁站,118.085345,24.442165
厦大南门(地铁站),交通设施服务;地铁站;地铁站,118.092194,24.435484
邮轮中心(地铁站),交通设施服务;地铁站;地铁站,118.077155,24.484959
湖滨中路(地铁站),交通设施服务;地铁站;地铁站,118.094744,24.480508
建业路(地铁站),交通设施服务;地铁站;地铁站,118.083644,24.478104
中山公园(地铁站),交通设施服务;地铁站;地铁站,118.089851,24.455683
镇海路(地铁站),交通设施服务;地铁站;地铁站,118.082837,24.450496
沙坡尾(地铁站),交通设施服务;地铁站;地铁站,118.085345,24.442165
邮轮中心(地铁站),交通设施服务;地铁站;地铁站,118.077155,24.484959
湖滨中路(地铁站),交通设施服务;地铁站;地铁站,118.094744,24.480508
建业路(地铁站),交通设施服务;地铁站;地铁站,118.083644,24.478104
邮轮中心(地铁站),交通设施服务;地铁站;地铁站,118.077155,24.484959
湖滨中路(地铁站),交通设施服务;地铁站;地铁站,118.094744,24.480508
体育中心(地铁站),交通设施服务;地铁站;地铁站,118.106182,24.483731
育秀东路(地铁站),交通设施服务;地铁站;地铁站,118.113059,24.485516
湖滨东路(地铁站),交通设施服务;地铁站;地铁站,118.110656,24.474027
文灶(地铁站),交通设施服务;地铁站;地铁站,118.103441,24.467703
将军祠(地铁站),交通设施服务;地铁站;地铁站,118.099835,24.460767
人才中心(地铁站),交通设施服务;地铁站;地铁站,118.102972,24.489650
湖里公园(地铁站),交通设施服务;地铁站;地铁站,118.105536,24.506448
华荣路(地铁站),交通设施服务;地铁站;地铁站,118.108557,24.511528
厦门火车站(地铁站),交通设施服务;地铁站;地铁站,118.114774,24.469177
厦大白城(地铁站),交通设施服务;地铁站;地铁站,118.108806,24.430227
育秀东路(地铁站),交通设施服务;地铁站;地铁站,118.113059,24.485516
体育中心(地铁站),交通设施服务;地铁站;地铁站,118.106182,24.483731
湖滨东路(地铁站),交通设施服务;地铁站;地铁站,118.110656,24.474027
文灶(地铁站),交通设施服务;地铁站;地铁站,118.103441,24.467703
将军祠(地铁站),交通设施服务;地铁站;地铁站,118.099835,24.460767
湖里公园(地铁站),交通设施服务;地铁站;地铁站,118.105536,24.506448
华荣路(地铁站),交通设施服务;地铁站;地铁站,118.108557,24.511528
人才中心(地铁站),交通设施服务;地铁站;地铁站,118.102972,24.489650
厦门火车站(地铁站),交通设施服务;地铁站;地铁站,118.114774,24.469177
育秀东路(地铁站),交通设施服务;地铁站;地铁站,118.113059,24.485516
体育中心(地铁站),交通设施服务;地铁站;地铁站,118.106182,24.483731
湖滨东路(地铁站),交通设施服务;地铁站;地铁站,118.110656,24.474027
文灶(地铁站),交通设施服务;地铁站;地铁站,118.103441,24.467703
将军祠(地铁站),交通设施服务;地铁站;地铁站,118.099835,24.460767
华荣路(地铁站),交通设施服务;地铁站;地铁站,118.108557,24.511528
湖里公园(地铁站),交通设施服务;地铁站;地铁站,118.105536,24.506448
人才中心(地铁站),交通设施服务;地铁站;地铁站,118.102972,24.489650
厦门火车站(地铁站),交通设施服务;地铁站;地铁站,118.114774,24.469177
育秀东路(地铁站),交通设施服务;地铁站;地铁站,118.113059,24.485516
体育中心(地铁站),交通设施服务;地铁站;地铁站,118.106182,24.483731
华荣路(地铁站),交通设施服务;地铁站;地铁站,118.108557,24.511528
湖里公园(地铁站),交通设施服务;地铁站;地铁站,118.105536,24.506448
人才中心(地铁站),交通设施服务;地铁站;地铁站,118.102972,24.489650
华荣路(地铁站),交通设施服务;地铁站;地铁站,118.108557,24.511528
湖里公园(地铁站),交通设施服务;地铁站;地铁站,118.105536,24.506448
吕厝(地铁站),交通设施服务;地铁站;地铁站,118.127959,24.490680
乌石浦(地铁站),交通设施服务;地铁站;地铁站,118.126518,24.498916
莲花路口(地铁站),交通设施服务;地铁站;地铁站,118.122857,24.483483
